symbol,turnover
BRIGADE,407.0
BRITANNIA,406.0
MAPMYINDIA,405.0
CCL,404.0
CESC,403.0
CGPOWER,402.0
CRISIL,401.0
CAMPUS,400.0
CANFINHOME,399.0
CANBK,398.0
CAPLIPOINT,397.0
CGCL,396.0
CARBORUNIV,395.0
CASTROLIND,394.0
CEATLTD,393.0
CENTRALBK,392.0
CDSL,391.0
CENTURYPLY,390.0
CERA,389.0
CHALET,388.0
CHAMBLFERT,387.0
CHENNPETRO,386.0
CHOICEIN,385.0
CHOLAHLDNG,384.0
CHOLAFIN,383.0
CIPLA,382.0
CUB,381.0
CLEAN,380.0
COALINDIA,379.0
COCHINSHIP,378.0
COFORGE,377.0
COHANCE,376.0
COLPAL,375.0
CAMS,374.0
CONCORDBIO,373.0
CONCOR,372.0
COROMANDEL,371.0
CRAFTSMAN,370.0
CREDITACC,369.0
CROMPTON,368.0
CUMMINSIND,367.0
CYIENT,366.0
DCMSHRIRAM,365.0
DLF,364.0
DOMS,363.0
DABUR,362.0
DALBHARAT,361.0
DATAPATTNS,360.0
DEEPAKFERT,359.0
DEEPAKNTR,358.0
DELHIVERY,357.0
DEVYANI,356.0
DIVISLAB,355.0
DIXON,354.0
AGARWALEYE,353.0
LALPATHLAB,352.0
DRREDDY,351.0
EIDPARRY,350.0
EIHOTEL,349.0
EICHERMOT,348.0
ELECON,347.0
ELGIEQUIP,346.0
EMAMILTD,345.0
EMCURE,344.0
ENDURANCE,343.0
ENGINERSIN,342.0
ERIS,341.0
ESCORTS,340.0
ETERNAL,339.0
EXIDEIND,338.0
NYKAA,337.0
FEDERALBNK,336.0
FACT,335.0
FINCABLES,334.0
FINPIPE,333.0
FSL,332.0
FIVESTAR,331.0
FORCEMOT,330.0
FORTIS,329.0
GAIL,328.0
GVT&D,327.0
GMRAIRPORT,326.0
GRSE,325.0
GICRE,324.0
GILLETTE,323.0
GLAND,322.0
GLAXO,321.0
GLENMARK,320.0
MEDANTA,319.0
GODIGIT,318.0
GPIL,317.0
GODFRYPHLP,316.0
GODREJAGRO,315.0
GODREJCP,314.0
GODREJIND,313.0
GODREJPROP,312.0
GRANULES,311.0
GRAPHITE,310.0
GRASIM,309.0
GRAVITA,308.0
GESHIP,307.0
FLUOROCHEM,306.0
GUJGASLTD,305.0
GMDCLTD,304.0
GSPL,303.0
HEG,302.0
HBLENGINE,301.0
HCLTECH,300.0
HDFCAMC,299.0
HDFCBANK,298.0
HDFCLIFE,297.0
HFCL,296.0
HAPPSTMNDS,295.0
HAVELLS,294.0
HEROMOTOCO,293.0
HEXT,292.0
HSCL,291.0
HINDALCO,290.0
HAL,289.0
HINDCOPPER,288.0
HINDPETRO,287.0
HINDUNILVR,286.0
HINDZINC,285.0
POWERINDIA,284.0
HOMEFIRST,283.0
HONASA,282.0
HONAUT,281.0
HUDCO,280.0
HYUNDAI,279.0
ICICIBANK,278.0
ICICIGI,277.0
ICICIPRULI,276.0
IDBI,275.0
IDFCFIRSTB,274.0
IFCI,273.0
IIFL,272.0
INOXINDIA,271.0
IRB,270.0
IRCON,269.0
ITCHOTELS,268.0
ITC,267.0
ITI,266.0
INDGN,265.0
INDIACEM,264.0
INDIAMART,263.0
INDIANB,262.0
IEX,261.0
INDHOTEL,260.0
IOC,259.0
IOB,258.0
IRCTC,257.0
IRFC,256.0
IREDA,255.0
IGL,254.0
INDUSTOWER,253.0
INDUSINDBK,252.0
NAUKRI,251.0
INFY,250.0
INOXWIND,249.0
INTELLECT,248.0
INDIGO,247.0
IGIL,246.0
IKS,245.0
IPCALAB,244.0
JBCHEPHARM,243.0
JKCEMENT,242.0
JBMA,241.0
JKTYRE,240.0
JMFINANCIL,239.0
JSWCEMENT,238.0
JSWENERGY,237.0
JSWINFRA,236.0
JSWSTEEL,235.0
JPPOWER,234.0
J&KBANK,233.0
JINDALSAW,232.0
JSL,231.0
JINDALSTEL,230.0
JIOFIN,229.0
JUBLFOOD,228.0
JUBLINGREA,227.0
JUBLPHARMA,226.0
JWL,225.0
JYOTHYLAB,224.0
JYOTICNC,223.0
KPRMILL,222.0
KEI,221.0
KPITTECH,220.0
KSB,219.0
KAJARIACER,218.0
KPIL,217.0
KALYANKJIL,216.0
KARURVYSYA,215.0
KAYNES,214.0
KEC,213.0
KFINTECH,212.0
KIRLOSBROS,211.0
KIRLOSENG,210.0
KOTAKBANK,209.0
KIMS,208.0
LTF,207.0
LTTS,206.0
LICHSGFIN,205.0
LTFOODS,204.0
LTIM,203.0
LT,202.0
LATENTVIEW,201.0
LAURUSLABS,200.0
THELEELA,199.0
LEMONTREE,198.0
LICI,197.0
LINDEINDIA,196.0
LLOYDSME,195.0
LODHA,194.0
LUPIN,193.0
MMTC,192.0
MRF,191.0
MGL,190.0
MAHSCOOTER,189.0
MAHSEAMLES,188.0
M&MFIN,187.0
M&M,186.0
MANAPPURAM,185.0
MRPL,184.0
MANKIND,183.0
MARICO,182.0
MARUTI,181.0
MFSL,180.0
MAXHEALTH,179.0
MAZDOCK,178.0
METROPOLIS,177.0
MINDACORP,176.0
MSUMI,175.0
MOTILALOFS,174.0
MPHASIS,173.0
MCX,172.0
MUTHOOTFIN,171.0
NATCOPHARM,170.0
NBCC,169.0
NCC,168.0
NHPC,167.0
NLCINDIA,166.0
NMDC,165.0
NSLNISP,164.0
NTPCGREEN,163.0
NTPC,162.0
NH,161.0
NATIONALUM,160.0
NAVA,159.0
NAVINFLUOR,158.0
NESTLEIND,157.0
NETWEB,156.0
NEULANDLAB,155.0
NEWGEN,154.0
NAM-INDIA,153.0
NIVABUPA,152.0
NUVAMA,151.0
NUVOCO,150.0
OBEROIRLTY,149.0
ONGC,148.0
OIL,147.0
OLAELEC,146.0
OLECTRA,145.0
PAYTM,144.0
ONESOURCE,143.0
OFSS,142.0
POLICYBZR,141.0
PCBL,140.0
PGEL,139.0
PIIND,138.0
PNBHOUSING,137.0
PTCIL,136.0
PVRINOX,135.0
PAGEIND,134.0
PATANJALI,133.0
PERSISTENT,132.0
PETRONET,131.0
PFIZER,130.0
PHOENIXLTD,129.0
PIDILITIND,128.0
PPLPHARMA,127.0
POLYMED,126.0
POLYCAB,125.0
POONAWALLA,124.0
PFC,123.0
POWERGRID,122.0
PRAJIND,121.0
PREMIERENE,120.0
PRESTIGE,119.0
PGHH,118.0
PNB,117.0
RRKABEL,116.0
RBLBANK,115.0
RECLTD,114.0
RHIM,113.0
RITES,112.0
RADICO,111.0
RVNL,110.0
RAILTEL,109.0
RAINBOW,108.0
RKFORGE,107.0
RCF,106.0
REDINGTON,105.0
RELIANCE,104.0
RPOWER,103.0
SBFC,102.0
SBICARD,101.0
SBILIFE,100.0
SJVN,99.0
SRF,98.0
SAGILITY,97.0
SAILIFE,96.0
SAMMAANCAP,95.0
MOTHERSON,94.0
SAPPHIRE,93.0
SARDAEN,92.0
SAREGAMA,91.0
SCHAEFFLER,90.0
SCHNEIDER,89.0
SCI,88.0
SHREECEM,87.0
SHRIRAMFIN,86.0
SHYAMMETL,85.0
ENRIN,84.0
SIEMENS,83.0
SIGNATURE,82.0
SOBHA,81.0
SOLARINDS,80.0
SONACOMS,79.0
SONATSOFTW,78.0
STARHEALTH,77.0
SBIN,76.0
SAIL,75.0
SUMICHEM,74.0
SUNPHARMA,73.0
SUNTV,72.0
SUNDARMFIN,71.0
SUNDRMFAST,70.0
SUPREMEIND,69.0
SUZLON,68.0
SWANCORP,67.0
SWIGGY,66.0
SYNGENE,65.0
SYRMA,64.0
TBOTEK,63.0
TVSMOTOR,62.0
TATACHEM,61.0
TATACOMM,60.0
TCS,59.0
TATACONSUM,58.0
TATAELXSI,57.0
TATAINVEST,56.0
TMPV,55.0
TATAPOWER,54.0
TATASTEEL,53.0
TATATECH,52.0
TTML,51.0
TECHM,50.0
TECHNOE,49.0
TEJASNET,48.0
NIACL,47.0
RAMCOCEM,46.0
THERMAX,45.0
TIMKEN,44.0
TITAGARH,43.0
TITAN,42.0
TORNTPHARM,41.0
TORNTPOWER,40.0
TARIL,39.0
TRENT,38.0
TRIDENT,37.0
TRIVENI,36.0
TRITURBINE,35.0
TIINDIA,34.0
UCOBANK,33.0
UNOMINDA,32.0
UPL,31.0
UTIAMC,30.0
ULTRACEMCO,29.0
UNIONBANK,28.0
UBL,27.0
UNITDSPR,26.0
USHAMART,25.0
VGUARD,24.0
DBREALTY,23.0
VTL,22.0
VBL,21.0
MANYAVAR,20.0
VEDL,19.0
VENTIVE,18.0
VIJAYA,17.0
VMM,16.0
IDEA,15.0
VOLTAS,14.0
WAAREEENER,13.0
WELCORP,12.0
WELSPUNLIV,11.0
WHIRLPOOL,10.0
WIPRO,9.0
WOCKPHARMA,8.0
YESBANK,7.0
ZFCVINDIA,6.0
ZEEL,5.0
ZENTEC,4.0
ZENSARTECH,3.0
ZYDUSLIFE,2.0
ECLERX,1.0
